//-----------------------------------------------
//メッシュフィールドの配置処理
//Author: 加藤瑞葵
//-----------------------------------------------
SET_MESHFIELD
vertical = 50
line = 50
width = 6500.00
depth = 6500.00
-3250.00 11.48 3250.00
-3120.00 13.80 3250.00
-2990.00 17.02 3250.00
-2860.00 22.31 3250.00
-2730.00 26.67 3250.00
-2600.00 25.82 3250.00
-2470.00 28.32 3250.00
-2340.00 31.79 3250.00
-2210.00 33.97 3250.00
-2080.00 38.86 3250.00
-1950.00 40.54 3250.00
-1820.00 46.10 3250.00
-1690.00 46.25 3250.00
-1560.00 49.63 3250.00
-1430.00 54.41 3250.00
-1300.00 59.09 3250.00
-1170.00 60.10 3250.00
-1040.00 59.10 3250.00
-910.00 61.42 3250.00
-780.00 61.61 3250.00
-650.00 66.07 3250.00
-520.00 68.10 3250.00
-390.00 71.45 3250.00
-260.00 69.93 3250.00
-130.00 72.03 3250.00
0.00 70.06 3250.00
130.00 67.68 3250.00
260.00 69.44 3250.00
390.00 67.15 3250.00
520.00 60.92 3250.00
650.00 57.44 3250.00
780.00 49.08 3250.00
910.00 48.46 3250.00
1040.00 38.21 3250.00
1170.00 30.48 3250.00
1300.00 23.44 3250.00
1430.00 17.81 3250.00
1560.00 12.09 3250.00
1690.00 6.57 3250.00
1820.00 2.96 3250.00
1950.00 0.61 3250.00
2080.00 0.00 3250.00
2210.00 0.00 3250.00
2340.00 0.00 3250.00
2470.00 0.00 3250.00
2600.00 0.00 3250.00
2730.00 0.00 3250.00
2860.00 0.00 3250.00
2990.00 0.00 3250.00
3120.00 0.00 3250.00
3250.00 0.00 3250.00
-3250.00 17.19 3120.00
-3120.00 22.25 3120.00
-2990.00 26.33 3120.00
-2860.00 32.08 3120.00
-2730.00 38.61 3120.00
-2600.00 37.07 3120.00
-2470.00 42.50 3120.00
-2340.00 45.62 3120.00
-2210.00 44.99 3120.00
-2080.00 45.40 3120.00
-1950.00 50.00 3120.00
-1820.00 56.56 3120.00
-1690.00 60.21 3120.00
-1560.00 61.94 3120.00
-1430.00 64.30 3120.00
-1300.00 64.60 3120.00
-1170.00 68.99 3120.00
-1040.00 76.00 3120.00
-910.00 70.95 3120.00
-780.00 77.24 3120.00
-650.00 77.66 3120.00
-520.00 78.75 3120.00
-390.00 84.31 3120.00
-260.00 86.78 3120.00
-130.00 86.25 3120.00
0.00 83.89 3120.00
130.00 83.58 3120.00
260.00 79.54 3120.00
390.00 72.99 3120.00
520.00 73.95 3120.00
650.00 63.74 3120.00
780.00 64.37 3120.00
910.00 53.75 3120.00
1040.00 43.98 3120.00
1170.00 39.62 3120.00
1300.00 32.46 3120.00
1430.00 21.24 3120.00
1560.00 17.27 3120.00
1690.00 10.85 3120.00
1820.00 4.97 3120.00
1950.00 1.52 3120.00
2080.00 0.04 3120.00
2210.00 0.00 3120.00
2340.00 0.00 3120.00
2470.00 0.00 3120.00
2600.00 0.00 3120.00
2730.00 0.00 3120.00
2860.00 0.00 3120.00
2990.00 0.00 3120.00
3120.00 0.00 3120.00
3250.00 0.00 3120.00
-3250.00 21.25 2990.00
-3120.00 31.24 2990.00
-2990.00 37.70 2990.00
-2860.00 44.74 2990.00
-2730.00 44.93 2990.00
-2600.00 54.21 2990.00
-2470.00 54.26 2990.00
-2340.00 58.76 2990.00
-2210.00 57.04 2990.00
-2080.00 60.24 2990.00
-1950.00 59.67 2990.00
-1820.00 69.14 2990.00
-1690.00 72.03 2990.00
-1560.00 75.39 2990.00
-1430.00 78.75 2990.00
-1300.00 76.72 2990.00
-1170.00 82.79 2990.00
-1040.00 81.35 2990.00
-910.00 79.33 2990.00
-780.00 88.53 2990.00
-650.00 91.72 2990.00
-520.00 87.71 2990.00
-390.00 97.93 2990.00
-260.00 88.61 2990.00
-130.00 92.01 2990.00
0.00 90.05 2990.00
130.00 88.51 2990.00
260.00 86.92 2990.00
390.00 83.19 2990.00
520.00 78.56 2990.00
650.00 75.76 2990.00
780.00 66.23 2990.00
910.00 56.28 2990.00
1040.00 52.60 2990.00
1170.00 45.77 2990.00
1300.00 33.06 2990.00
1430.00 23.02 2990.00
1560.00 18.60 2990.00
1690.00 12.08 2990.00
1820.00 5.69 2990.00
1950.00 2.48 2990.00
2080.00 0.18 2990.00
2210.00 0.00 2990.00
2340.00 0.00 2990.00
2470.00 0.00 2990.00
2600.00 0.00 2990.00
2730.00 0.00 2990.00
2860.00 0.00 2990.00
2990.00 0.00 2990.00
3120.00 0.00 2990.00
3250.00 0.00 2990.00
-3250.00 26.88 2860.00
-3120.00 34.19 2860.00
-2990.00 45.37 2860.00
-2860.00 47.90 2860.00
-2730.00 54.18 2860.00
-2600.00 58.95 2860.00
-2470.00 62.00 2860.00
-2340.00 65.19 2860.00
-2210.00 68.70 2860.00
-2080.00 72.97 2860.00
-1950.00 75.21 2860.00
-1820.00 80.91 2860.00
-1690.00 83.13 2860.00
-1560.00 86.25 2860.00
-1430.00 85.32 2860.00
-1300.00 80.38 2860.00
-1170.00 82.86 2860.00
-1040.00 86.71 2860.00
-910.00 85.67 2860.00
-780.00 83.78 2860.00
-650.00 95.83 2860.00
-520.00 90.81 2860.00
-390.00 90.62 2860.00
-260.00 92.12 2860.00
-130.00 92.60 2860.00
0.00 89.77 2860.00
130.00 86.97 2860.00
260.00 85.01 2860.00
390.00 81.32 2860.00
520.00 74.50 2860.00
650.00 72.76 2860.00
780.00 72.69 2860.00
910.00 62.67 2860.00
1040.00 58.48 2860.00
1170.00 43.63 2860.00
1300.00 31.92 2860.00
1430.00 27.71 2860.00
1560.00 18.20 2860.00
1690.00 12.95 2860.00
1820.00 6.68 2860.00
1950.00 2.35 2860.00
2080.00 0.17 2860.00
2210.00 0.00 2860.00
2340.00 0.00 2860.00
2470.00 0.00 2860.00
2600.00 0.00 2860.00
2730.00 0.00 2860.00
2860.00 0.00 2860.00
2990.00 0.00 2860.00
3120.00 0.00 2860.00
3250.00 0.00 2860.00
-3250.00 31.74 2730.00
-3120.00 42.19 2730.00
-2990.00 49.53 2730.00
-2860.00 60.68 2730.00
-2730.00 62.64 2730.00
-2600.00 69.66 2730.00
-2470.00 79.33 2730.00
-2340.00 77.37 2730.00
-2210.00 83.39 2730.00
-2080.00 91.88 2730.00
-1950.00 89.95 2730.00
-1820.00 89.12 2730.00
-1690.00 85.69 2730.00
-1560.00 89.40 2730.00
-1430.00 82.26 2730.00
-1300.00 85.29 2730.00
-1170.00 80.54 2730.00
-1040.00 84.34 2730.00
-910.00 84.71 2730.00
-780.00 86.97 2730.00
-650.00 85.84 2730.00
-520.00 88.47 2730.00
-390.00 88.30 2730.00
-260.00 88.03 2730.00
-130.00 89.25 2730.00
0.00 86.24 2730.00
130.00 90.65 2730.00
260.00 75.67 2730.00
390.00 76.54 2730.00
520.00 74.43 2730.00
650.00 66.04 2730.00
780.00 58.65 2730.00
910.00 57.66 2730.00
1040.00 48.37 2730.00
1170.00 38.88 2730.00
1300.00 33.62 2730.00
1430.00 24.46 2730.00
1560.00 16.97 2730.00
1690.00 10.37 2730.00
1820.00 5.96 2730.00
1950.00 2.78 2730.00
2080.00 0.28 2730.00
2210.00 0.00 2730.00
2340.00 0.00 2730.00
2470.00 0.00 2730.00
2600.00 0.00 2730.00
2730.00 0.43 2730.00
2860.00 1.30 2730.00
2990.00 2.08 2730.00
3120.00 2.11 2730.00
3250.00 1.51 2730.00
-3250.00 35.73 2600.00
-3120.00 41.14 2600.00
-2990.00 55.32 2600.00
-2860.00 65.28 2600.00
-2730.00 67.71 2600.00
-2600.00 78.04 2600.00
-2470.00 80.74 2600.00
-2340.00 89.63 2600.00
-2210.00 99.75 2600.00
-2080.00 100.34 2600.00
-1950.00 98.73 2600.00
-1820.00 92.39 2600.00
-1690.00 88.06 2600.00
-1560.00 88.78 2600.00
-1430.00 87.85 2600.00
-1300.00 80.08 2600.00
-1170.00 78.16 2600.00
-1040.00 75.40 2600.00
-910.00 80.64 2600.00
-780.00 77.28 2600.00
-650.00 83.05 2600.00
-520.00 84.15 2600.00
-390.00 86.41 2600.00
-260.00 85.60 2600.00
-130.00 83.61 2600.00
0.00 84.44 2600.00
130.00 80.39 2600.00
260.00 63.57 2600.00
390.00 64.20 2600.00
520.00 63.83 2600.00
650.00 53.58 2600.00
780.00 51.97 2600.00
910.00 47.60 2600.00
1040.00 39.79 2600.00
1170.00 36.83 2600.00
1300.00 26.50 2600.00
1430.00 20.24 2600.00
1560.00 16.83 2600.00
1690.00 9.17 2600.00
1820.00 5.07 2600.00
1950.00 1.61 2600.00
2080.00 0.09 2600.00
2210.00 0.00 2600.00
2340.00 0.00 2600.00
2470.00 0.10 2600.00
